"id","Time","Treatment","Microplate","Abundance"
"3F1",14,"Devosia",1,2.73e+08
"3F2",14,"Devosia",2,3.14e+08
"3F3",14,"Devosia",3,2.2e+08
"3F4",14,"none",1,3.3e+08
"3F5",14,"none",2,1.9e+08
"3F6",14,"none",3,2.44e+08
"3F7",14,"Alcanivorax",1,3.15e+08
"3F8",14,"Alcanivorax",2,3.07e+08
"3F9",14,"Alcanivorax",3,2.54e+08
"3F10",14,"Devosia",4,2.6e+08
"3F11",14,"Devosia",5,1.99e+08
"3F12",14,"Devosia",6,2.44e+08
"3G1",14,"Marinobacter",1,2.81e+08
"3G2",14,"Marinobacter",2,3.02e+08
"3G3",14,"Marinobacter",3,2.38e+08
"3G4",14,"Alcanivorax",4,3.06e+08
"3G5",14,"Alcanivorax",5,1.94e+08
"3G6",14,"Alcanivorax",6,2.34e+08
